case_id,pkt_id,src_rid,dst_rid,msg_class,vc_id,pkt_len,inject_cycle,finish_cycle,latency,status,error_code
364,811,4,2,RESP,3,6,2854154,2854173,19,PASS,PASS
364,812,0,7,REQ,0,6,2854154,2854176,22,PASS,PASS
365,813,2,4,REQ,1,2,2871205,2871216,11,PASS,PASS
365,814,4,1,REQ,0,6,2871205,2871221,16,PASS,PASS
365,815,8,6,REQ,0,6,2871205,2871224,19,PASS,PASS
366,816,2,8,RESP,3,6,2888256,2888275,19,PASS,PASS
366,817,6,7,RESP,2,5,2888256,2888270,14,PASS,PASS
366,818,1,5,REQ,1,5,2888256,2888273,17,PASS,PASS
367,819,0,3,REQ,0,6,2905307,2905323,16,PASS,PASS
367,820,7,6,RESP,3,6,2905307,2905323,16,PASS,PASS
367,821,4,0,REQ,0,7,2905307,2905328,21,PASS,PASS
368,822,0,7,RESP,2,3,2922358,2922374,16,PASS,PASS
368,823,5,1,RESP,3,6,2922358,2922377,19,PASS,PASS
368,824,7,2,RESP,2,4,2922358,2922376,18,PASS,PASS
369,825,0,7,RESP,2,4,2939409,2939427,18,PASS,PASS
369,826,5,6,RESP,2,2,2939409,2939423,14,PASS,PASS
369,827,4,3,RESP,2,5,2939409,2939423,14,PASS,PASS
370,828,5,2,RESP,3,2,2956460,2956468,8,PASS,PASS
370,829,7,4,REQ,0,4,2956460,2956472,12,PASS,PASS
370,830,0,4,REQ,1,2,2956460,2956471,11,PASS,PASS
371,831,1,2,RESP,2,4,2973511,2973523,12,PASS,PASS
371,832,3,4,RESP,3,2,2973511,2973519,8,PASS,PASS
371,833,2,8,REQ,1,3,2973511,2973524,13,PASS,PASS
372,834,5,8,RESP,2,4,2990562,2990574,12,PASS,PASS
372,835,7,3,RESP,2,5,2990562,2990579,17,PASS,PASS
372,836,4,3,RESP,3,6,2990562,2990578,16,PASS,PASS
373,837,4,2,RESP,3,4,3007613,3007628,15,PASS,PASS
373,838,6,4,REQ,0,4,3007613,3007628,15,PASS,PASS
373,839,2,0,REQ,1,5,3007613,3007630,17,PASS,PASS
374,840,4,7,REQ,1,3,3024664,3024674,10,PASS,PASS
374,841,6,3,RESP,2,2,3024664,3024672,8,PASS,PASS
374,842,1,4,RESP,3,7,3024664,3024682,18,PASS,PASS
375,843,2,3,RESP,2,5,3041715,3041735,20,PASS,PASS
375,844,8,1,RESP,2,4,3041715,3041733,18,PASS,PASS
375,845,4,1,RESP,3,2,3041715,3041723,8,PASS,PASS
376,846,1,5,REQ,1,3,3058766,3058779,13,PASS,PASS
376,847,0,8,REQ,0,2,3058766,3058783,17,PASS,PASS
376,848,6,5,RESP,3,4,3058766,3058784,18,PASS,PASS
377,849,8,0,RESP,2,3,3075817,3075836,19,PASS,PASS
377,850,7,2,RESP,3,4,3075817,3075835,18,PASS,PASS
377,851,2,7,RESP,2,6,3075817,3075839,22,PASS,PASS
378,852,8,6,RESP,3,2,3092868,3092879,11,PASS,PASS
378,853,4,6,RESP,2,4,3092868,3092885,17,PASS,PASS
378,854,1,6,REQ,0,7,3092868,3092892,24,PASS,PASS
379,855,1,3,RESP,3,3,3109919,3109932,13,PASS,PASS
379,856,7,0,REQ,1,7,3109919,3109943,24,PASS,PASS
379,857,2,6,RESP,2,2,3109919,3109936,17,PASS,PASS
380,858,3,0,RESP,3,2,3126970,3126978,8,PASS,PASS
380,859,6,3,RESP,2,5,3126970,3126984,14,PASS,PASS
380,860,2,0,RESP,3,2,3126970,3126981,11,PASS,PASS
381,861,8,3,REQ,0,7,3144021,3144045,24,PASS,PASS
381,862,4,2,REQ,0,6,3144021,3144040,19,PASS,PASS
381,863,6,8,RESP,2,4,3144021,3144036,15,PASS,PASS
382,864,1,8,RESP,2,5,3161072,3161092,20,PASS,PASS
382,865,0,3,REQ,0,6,3161072,3161088,16,PASS,PASS
382,866,6,8,REQ,0,7,3161072,3161093,21,PASS,PASS
383,867,0,5,REQ,1,7,3178123,3178147,24,PASS,PASS
383,868,6,0,REQ,1,5,3178123,3178140,17,PASS,PASS
383,869,3,6,REQ,1,5,3178123,3178137,14,PASS,PASS
384,870,1,8,REQ,0,7,3195174,3195198,24,PASS,PASS
384,871,4,5,REQ,1,5,3195174,3195188,14,PASS,PASS
384,872,8,5,REQ,0,6,3195174,3195191,17,PASS,PASS
385,873,5,1,RESP,3,4,3212225,3212240,15,PASS,PASS
385,874,0,2,REQ,0,5,3212225,3212242,17,PASS,PASS
385,875,4,5,RESP,2,3,3212225,3212235,10,PASS,PASS
386,876,5,3,RESP,2,7,3229276,3229297,21,PASS,PASS
386,877,7,1,REQ,0,7,3229276,3229297,21,PASS,PASS
386,878,2,8,REQ,0,4,3229276,3229291,15,PASS,PASS
387,879,5,4,RESP,3,5,3246327,3246341,14,PASS,PASS
387,880,0,8,RESP,2,3,3246327,3246346,19,PASS,PASS
387,881,2,7,RESP,3,3,3246327,3246343,16,PASS,PASS
388,882,5,2,REQ,0,5,3263378,3263392,14,PASS,PASS
388,883,6,8,REQ,1,2,3263378,3263389,11,PASS,PASS
388,884,2,8,RESP,2,2,3263378,3263390,12,PASS,PASS
389,885,3,0,REQ,1,6,3280429,3280445,16,PASS,PASS
389,886,1,5,RESP,3,2,3280429,3280440,11,PASS,PASS
389,887,0,3,REQ,0,6,3280429,3280445,16,PASS,PASS
390,888,3,2,REQ,0,7,3297480,3297504,24,PASS,PASS
390,889,5,6,RESP,2,7,3297480,3297504,24,PASS,PASS
390,890,4,8,REQ,0,4,3297480,3297495,15,PASS,PASS
391,891,2,0,REQ,1,4,3314531,3314546,15,PASS,PASS
391,892,0,7,RESP,2,3,3314531,3314547,16,PASS,PASS
391,893,5,7,REQ,1,6,3314531,3314550,19,PASS,PASS
392,894,0,5,REQ,0,7,3331582,3331606,24,PASS,PASS
392,895,5,1,REQ,0,3,3331582,3331595,13,PASS,PASS
392,896,4,1,REQ,1,7,3331582,3331600,18,PASS,PASS
393,897,3,7,REQ,0,4,3348633,3348648,15,PASS,PASS
