case_id,pkt_id,src_rid,dst_rid,msg_class,vc_id,pkt_len,inject_cycle,finish_cycle,latency,status,error_code
2849,3316,2,7,REQ,1,6,,,22,PASS,PASS
2849,3317,6,8,RESP,3,5,,,17,PASS,PASS
2850,3318,1,4,RESP,2,5,,,14,PASS,PASS
2850,3319,0,7,RESP,3,2,,,14,PASS,PASS
2850,3320,5,0,REQ,0,4,,,18,PASS,PASS
2851,3321,3,4,RESP,3,2,,,8,PASS,PASS
2851,3322,6,7,RESP,2,7,,,18,PASS,PASS
2851,3323,2,8,RESP,2,4,,,15,PASS,PASS
2852,3324,5,6,RESP,3,7,,,24,PASS,PASS
2852,3325,3,1,REQ,1,7,,,21,PASS,PASS
2852,3326,4,6,REQ,1,3,,,13,PASS,PASS
2853,3327,6,5,REQ,0,3,,,16,PASS,PASS
2853,3328,8,3,REQ,0,5,,,20,PASS,PASS
2853,3329,4,8,RESP,3,5,,,17,PASS,PASS
2854,3330,4,8,RESP,2,3,,,13,PASS,PASS
2854,3331,3,6,RESP,3,5,,,14,PASS,PASS
2854,3332,6,1,RESP,2,5,,,20,PASS,PASS
2855,3333,6,7,REQ,0,7,,,18,PASS,PASS
2855,3334,1,3,REQ,0,5,,,17,PASS,PASS
2855,3335,0,1,REQ,1,7,,,18,PASS,PASS
2856,3336,7,8,RESP,2,6,,,16,PASS,PASS
2856,3337,0,6,REQ,0,2,,,11,PASS,PASS
2856,3338,6,7,RESP,2,2,,,8,PASS,PASS
2857,3339,8,1,RESP,2,2,,,14,PASS,PASS
2857,3340,5,8,REQ,0,2,,,8,PASS,PASS
2857,3341,7,3,REQ,0,4,,,15,PASS,PASS
2858,3342,6,3,REQ,1,4,,,12,PASS,PASS
2858,3343,3,6,REQ,0,7,,,18,PASS,PASS
2858,3344,8,5,REQ,1,3,,,10,PASS,PASS
2859,3345,0,5,REQ,1,3,,,16,PASS,PASS
2859,3346,1,8,RESP,2,6,,,22,PASS,PASS
2859,3347,7,2,REQ,1,4,,,18,PASS,PASS
2860,3348,7,5,REQ,0,7,,,21,PASS,PASS
2860,3349,2,6,RESP,2,4,,,21,PASS,PASS
2860,3350,4,2,REQ,0,4,,,15,PASS,PASS
2861,3351,3,0,RESP,2,3,,,10,PASS,PASS
2861,3352,8,2,RESP,2,3,,,13,PASS,PASS
2861,3353,7,6,RESP,3,3,,,10,PASS,PASS
2862,3354,5,3,REQ,1,5,,,17,PASS,PASS
2862,3355,8,2,REQ,1,5,,,17,PASS,PASS
2862,3356,1,2,REQ,1,6,,,16,PASS,PASS
2863,3357,1,8,REQ,1,5,,,20,PASS,PASS
2863,3358,8,7,RESP,3,4,,,12,PASS,PASS
2863,3359,2,8,RESP,3,3,,,13,PASS,PASS
2864,3360,4,6,RESP,2,6,,,20,PASS,PASS
2864,3361,6,8,RESP,3,7,,,21,PASS,PASS
2864,3362,2,6,REQ,0,2,,,17,PASS,PASS
2865,3363,6,8,REQ,1,6,,,19,PASS,PASS
