case_id,pkt_done,case_pass,case_fail,latency_sum,latency_min,latency_max,latency_avg
153,1,1,0,6,6,6,6.0
154,1,1,0,9,9,9,9.0
155,1,1,0,9,9,9,9.0
156,1,1,0,12,12,12,12.0
157,1,1,0,12,12,12,12.0
158,1,1,0,9,9,9,9.0
159,1,1,0,9,9,9,9.0
160,1,1,0,9,9,9,9.0
161,1,1,0,9,9,9,9.0
162,1,1,0,9,9,9,9.0
163,1,1,0,9,9,9,9.0
164,1,1,0,9,9,9,9.0
165,1,1,0,12,12,12,12.0
166,1,1,0,9,9,9,9.0
167,1,1,0,9,9,9,9.0
168,1,1,0,12,12,12,12.0
169,1,1,0,12,12,12,12.0
170,1,1,0,9,9,9,9.0
171,1,1,0,9,9,9,9.0
172,1,1,0,6,6,6,6.0
173,1,1,0,9,9,9,9.0
174,1,1,0,9,9,9,9.0
175,1,1,0,9,9,9,9.0
176,1,1,0,12,12,12,12.0
177,1,1,0,9,9,9,9.0
178,1,1,0,6,6,6,6.0
179,1,1,0,9,9,9,9.0
180,1,1,0,6,6,6,6.0
181,1,1,0,9,9,9,9.0
182,1,1,0,9,9,9,9.0
183,1,1,0,9,9,9,9.0
184,1,1,0,9,9,9,9.0
185,1,1,0,6,6,6,6.0
186,1,1,0,12,12,12,12.0
187,1,1,0,9,9,9,9.0
188,1,1,0,9,9,9,9.0
189,1,1,0,6,6,6,6.0
190,1,1,0,12,12,12,12.0
191,1,1,0,9,9,9,9.0
192,1,1,0,9,9,9,9.0
193,1,1,0,6,6,6,6.0
194,1,1,0,12,12,12,12.0
195,1,1,0,9,9,9,9.0
196,1,1,0,9,9,9,9.0
197,1,1,0,9,9,9,9.0
198,1,1,0,12,12,12,12.0
199,1,1,0,6,6,6,6.0
200,1,1,0,6,6,6,6.0
201,1,1,0,12,12,12,12.0
202,1,1,0,9,9,9,9.0
203,1,1,0,6,6,6,6.0
204,1,1,0,9,9,9,9.0
205,1,1,0,9,9,9,9.0
206,1,1,0,6,6,6,6.0
207,1,1,0,9,9,9,9.0
208,1,1,0,9,9,9,9.0
209,1,1,0,9,9,9,9.0
210,1,1,0,9,9,9,9.0
211,1,1,0,12,12,12,12.0
212,1,1,0,15,15,15,15.0
213,1,1,0,6,6,6,6.0
214,1,1,0,12,12,12,12.0
215,1,1,0,12,12,12,12.0
216,1,1,0,9,9,9,9.0
217,1,1,0,6,6,6,6.0
218,1,1,0,6,6,6,6.0
219,1,1,0,6,6,6,6.0
220,1,1,0,6,6,6,6.0
221,1,1,0,9,9,9,9.0
222,1,1,0,6,6,6,6.0
223,1,1,0,9,9,9,9.0
224,1,1,0,6,6,6,6.0
225,1,1,0,9,9,9,9.0
226,1,1,0,9,9,9,9.0
227,1,1,0,12,12,12,12.0
228,1,1,0,12,12,12,12.0
229,1,1,0,9,9,9,9.0
230,1,1,0,6,6,6,6.0
231,1,1,0,12,12,12,12.0
232,1,1,0,9,9,9,9.0
233,1,1,0,9,9,9,9.0
234,1,1,0,12,12,12,12.0
235,1,1,0,9,9,9,9.0
236,1,1,0,9,9,9,9.0
237,1,1,0,12,12,12,12.0
238,1,1,0,12,12,12,12.0
239,1,1,0,9,9,9,9.0
240,1,1,0,6,6,6,6.0
241,1,1,0,9,9,9,9.0
242,1,1,0,6,6,6,6.0
243,1,1,0,6,6,6,6.0
244,1,1,0,6,6,6,6.0
245,1,1,0,9,9,9,9.0
246,1,1,0,9,9,9,9.0
247,1,1,0,6,6,6,6.0
248,1,1,0,9,9,9,9.0
249,1,1,0,9,9,9,9.0
250,1,1,0,9,9,9,9.0
251,1,1,0,6,6,6,6.0
252,1,1,0,9,9,9,9.0
253,1,1,0,6,6,6,6.0
254,1,1,0,6,6,6,6.0
255,1,1,0,12,12,12,12.0
256,1,1,0,12,12,12,12.0
257,1,1,0,9,9,9,9.0
258,1,1,0,6,6,6,6.0
259,1,1,0,12,12,12,12.0
260,1,1,0,9,9,9,9.0
261,1,1,0,6,6,6,6.0
262,1,1,0,6,6,6,6.0
263,1,1,0,6,6,6,6.0
264,1,1,0,9,9,9,9.0
265,1,1,0,6,6,6,6.0
266,1,1,0,12,12,12,12.0
267,1,1,0,15,15,15,15.0
268,1,1,0,6,6,6,6.0
269,1,1,0,12,12,12,12.0
270,1,1,0,6,6,6,6.0
271,1,1,0,6,6,6,6.0
272,1,1,0,15,15,15,15.0
273,1,1,0,6,6,6,6.0
274,1,1,0,9,9,9,9.0
275,1,1,0,12,12,12,12.0
276,1,1,0,9,9,9,9.0
277,1,1,0,12,12,12,12.0
278,1,1,0,12,12,12,12.0
279,1,1,0,9,9,9,9.0
280,1,1,0,6,6,6,6.0
281,1,1,0,12,12,12,12.0
282,1,1,0,15,15,15,15.0
283,1,1,0,9,9,9,9.0
284,1,1,0,12,12,12,12.0
285,1,1,0,9,9,9,9.0
286,1,1,0,6,6,6,6.0
287,1,1,0,12,12,12,12.0
288,1,1,0,12,12,12,12.0
289,1,1,0,9,9,9,9.0
290,1,1,0,15,15,15,15.0
291,1,1,0,12,12,12,12.0
292,1,1,0,9,9,9,9.0
293,1,1,0,12,12,12,12.0
294,1,1,0,12,12,12,12.0
295,1,1,0,6,6,6,6.0
296,1,1,0,6,6,6,6.0
297,1,1,0,6,6,6,6.0
298,1,1,0,6,6,6,6.0
299,1,1,0,6,6,6,6.0
300,1,1,0,12,12,12,12.0
301,1,1,0,9,9,9,9.0
302,1,1,0,9,9,9,9.0
303,1,1,0,9,9,9,9.0
304,1,1,0,9,9,9,9.0
305,1,1,0,6,6,6,6.0
306,1,1,0,9,9,9,9.0
307,1,1,0,6,6,6,6.0
308,1,1,0,6,6,6,6.0
309,1,1,0,9,9,9,9.0
310,1,1,0,12,12,12,12.0
311,1,1,0,9,9,9,9.0
312,1,1,0,6,6,6,6.0
313,1,1,0,12,12,12,12.0
314,1,1,0,6,6,6,6.0
315,1,1,0,9,9,9,9.0
316,1,1,0,6,6,6,6.0
317,1,1,0,9,9,9,9.0
318,1,1,0,12,12,12,12.0
319,1,1,0,9,9,9,9.0
320,1,1,0,9,9,9,9.0
321,1,1,0,6,6,6,6.0
322,1,1,0,9,9,9,9.0
323,1,1,0,9,9,9,9.0
324,1,1,0,9,9,9,9.0
325,1,1,0,6,6,6,6.0
326,1,1,0,6,6,6,6.0
327,1,1,0,9,9,9,9.0
328,1,1,0,15,15,15,15.0
329,1,1,0,12,12,12,12.0
330,1,1,0,12,12,12,12.0
331,1,1,0,9,9,9,9.0
332,1,1,0,6,6,6,6.0
333,1,1,0,6,6,6,6.0
334,1,1,0,6,6,6,6.0
335,1,1,0,9,9,9,9.0
336,1,1,0,9,9,9,9.0
337,1,1,0,6,6,6,6.0
338,1,1,0,9,9,9,9.0
339,1,1,0,6,6,6,6.0
340,1,1,0,12,12,12,12.0
341,1,1,0,6,6,6,6.0
342,1,1,0,12,12,12,12.0
343,1,1,0,12,12,12,12.0
344,1,1,0,12,12,12,12.0
345,1,1,0,9,9,9,9.0
346,1,1,0,9,9,9,9.0
347,1,1,0,15,15,15,15.0
348,1,1,0,12,12,12,12.0
349,1,1,0,9,9,9,9.0
350,1,1,0,9,9,9,9.0
351,1,1,0,9,9,9,9.0
352,1,1,0,12,12,12,12.0
353,1,1,0,12,12,12,12.0
354,1,1,0,12,12,12,12.0
355,1,1,0,6,6,6,6.0
356,1,1,0,15,15,15,15.0
357,1,1,0,6,6,6,6.0
358,1,1,0,9,9,9,9.0
359,1,1,0,12,12,12,12.0
360,1,1,0,6,6,6,6.0
361,1,1,0,6,6,6,6.0
362,1,1,0,12,12,12,12.0
363,1,1,0,9,9,9,9.0
364,1,1,0,15,15,15,15.0
365,1,1,0,9,9,9,9.0
366,1,1,0,6,6,6,6.0
367,1,1,0,6,6,6,6.0
368,1,1,0,9,9,9,9.0
369,1,1,0,9,9,9,9.0
370,1,1,0,6,6,6,6.0
371,1,1,0,6,6,6,6.0
372,1,1,0,9,9,9,9.0
373,1,1,0,15,15,15,15.0
374,1,1,0,12,12,12,12.0
375,1,1,0,9,9,9,9.0
376,1,1,0,12,12,12,12.0
377,1,1,0,9,9,9,9.0
378,1,1,0,6,6,6,6.0
379,1,1,0,12,12,12,12.0
380,1,1,0,15,15,15,15.0
381,1,1,0,15,15,15,15.0
382,1,1,0,12,12,12,12.0
383,1,1,0,6,6,6,6.0
384,1,1,0,6,6,6,6.0
385,1,1,0,12,12,12,12.0
386,1,1,0,9,9,9,9.0
387,1,1,0,9,9,9,9.0
388,1,1,0,15,15,15,15.0
389,1,1,0,9,9,9,9.0
390,1,1,0,6,6,6,6.0
391,1,1,0,6,6,6,6.0
392,1,1,0,9,9,9,9.0
393,1,1,0,9,9,9,9.0
394,1,1,0,9,9,9,9.0
395,1,1,0,12,12,12,12.0
396,1,1,0,12,12,12,12.0
397,1,1,0,6,6,6,6.0
398,1,1,0,9,9,9,9.0
399,1,1,0,9,9,9,9.0
400,1,1,0,12,12,12,12.0
401,1,1,0,6,6,6,6.0
402,1,1,0,6,6,6,6.0
403,1,1,0,6,6,6,6.0
404,1,1,0,15,15,15,15.0
405,1,1,0,9,9,9,9.0
406,1,1,0,12,12,12,12.0
407,1,1,0,15,15,15,15.0
408,1,1,0,12,12,12,12.0
409,1,1,0,6,6,6,6.0
410,1,1,0,12,12,12,12.0
411,1,1,0,12,12,12,12.0
412,1,1,0,6,6,6,6.0
413,1,1,0,9,9,9,9.0
414,1,1,0,6,6,6,6.0
415,1,1,0,12,12,12,12.0
416,1,1,0,9,9,9,9.0
417,1,1,0,6,6,6,6.0
418,1,1,0,9,9,9,9.0
419,1,1,0,6,6,6,6.0
420,1,1,0,12,12,12,12.0
421,1,1,0,9,9,9,9.0
422,1,1,0,9,9,9,9.0
423,1,1,0,15,15,15,15.0
424,1,1,0,9,9,9,9.0
425,1,1,0,9,9,9,9.0
426,1,1,0,9,9,9,9.0
427,1,1,0,12,12,12,12.0
428,1,1,0,6,6,6,6.0
429,1,1,0,6,6,6,6.0
430,1,1,0,12,12,12,12.0
431,1,1,0,6,6,6,6.0
432,1,1,0,12,12,12,12.0
433,1,1,0,9,9,9,9.0
434,1,1,0,9,9,9,9.0
435,1,1,0,6,6,6,6.0
436,1,1,0,9,9,9,9.0
437,1,1,0,9,9,9,9.0
438,1,1,0,12,12,12,12.0
439,1,1,0,12,12,12,12.0
440,1,1,0,9,9,9,9.0
441,1,1,0,12,12,12,12.0
442,1,1,0,6,6,6,6.0
443,1,1,0,12,12,12,12.0
444,1,1,0,6,6,6,6.0
445,1,1,0,9,9,9,9.0
446,1,1,0,9,9,9,9.0
447,1,1,0,9,9,9,9.0
448,1,1,0,9,9,9,9.0
449,1,1,0,6,6,6,6.0
450,1,1,0,12,12,12,12.0
451,1,1,0,9,9,9,9.0
452,1,1,0,9,9,9,9.0
453,1,1,0,6,6,6,6.0
454,1,1,0,9,9,9,9.0
455,1,1,0,6,6,6,6.0
456,1,1,0,6,6,6,6.0
457,1,1,0,12,12,12,12.0
458,1,1,0,12,12,12,12.0
459,1,1,0,6,6,6,6.0
460,1,1,0,12,12,12,12.0
461,1,1,0,9,9,9,9.0
462,1,1,0,15,15,15,15.0
463,1,1,0,9,9,9,9.0
464,1,1,0,9,9,9,9.0
465,1,1,0,6,6,6,6.0
466,1,1,0,9,9,9,9.0
467,1,1,0,12,12,12,12.0
468,1,1,0,6,6,6,6.0
469,1,1,0,15,15,15,15.0
470,1,1,0,6,6,6,6.0
471,1,1,0,6,6,6,6.0
472,1,1,0,12,12,12,12.0
473,1,1,0,6,6,6,6.0
474,1,1,0,15,15,15,15.0
475,1,1,0,6,6,6,6.0
476,1,1,0,12,12,12,12.0
477,1,1,0,9,9,9,9.0
478,1,1,0,9,9,9,9.0
479,1,1,0,9,9,9,9.0
480,1,1,0,12,12,12,12.0
481,1,1,0,12,12,12,12.0
482,1,1,0,9,9,9,9.0
483,1,1,0,9,9,9,9.0
484,1,1,0,9,9,9,9.0
485,1,1,0,9,9,9,9.0
486,1,1,0,9,9,9,9.0
487,1,1,0,9,9,9,9.0
488,1,1,0,9,9,9,9.0
489,1,1,0,9,9,9,9.0
490,1,1,0,6,6,6,6.0
491,1,1,0,6,6,6,6.0
492,1,1,0,9,9,9,9.0
493,1,1,0,6,6,6,6.0
494,1,1,0,6,6,6,6.0
495,1,1,0,9,9,9,9.0
496,1,1,0,12,12,12,12.0
497,1,1,0,12,12,12,12.0
498,1,1,0,6,6,6,6.0
499,1,1,0,9,9,9,9.0
500,2,2,0,24,12,12,12.0
501,2,2,0,18,6,12,9.0
502,2,2,0,18,6,12,9.0
503,2,2,0,15,6,9,7.5
504,2,2,0,12,6,6,6.0
505,2,2,0,27,12,15,13.5
